,date,start_of_the_year,start_of_the_quarter,start_of_the_month
464,2013-04-09,2013-01-01,2013-04-01,2013-04-01
465,2013-04-10,2013-01-01,2013-04-01,2013-04-01
466,2013-04-11,2013-01-01,2013-04-01,2013-04-01
467,2013-04-12,2013-01-01,2013-04-01,2013-04-01
468,2013-04-13,2013-01-01,2013-04-01,2013-04-01
469,2013-04-14,2013-01-01,2013-04-01,2013-04-01
470,2013-04-15,2013-01-01,2013-04-01,2013-04-01
471,2013-04-16,2013-01-01,2013-04-01,2013-04-01
472,2013-04-17,2013-01-01,2013-04-01,2013-04-01
473,2013-04-18,2013-01-01,2013-04-01,2013-04-01
474,2013-04-19,2013-01-01,2013-04-01,2013-04-01
475,2013-04-20,2013-01-01,2013-04-01,2013-04-01
476,2013-04-21,2013-01-01,2013-04-01,2013-04-01
477,2013-04-22,2013-01-01,2013-04-01,2013-04-01
478,2013-04-23,2013-01-01,2013-04-01,2013-04-01
479,2013-04-24,2013-01-01,2013-04-01,2013-04-01
480,2013-04-25,2013-01-01,2013-04-01,2013-04-01
481,2013-04-26,2013-01-01,2013-04-01,2013-04-01
482,2013-04-27,2013-01-01,2013-04-01,2013-04-01
483,2013-04-28,2013-01-01,2013-04-01,2013-04-01
484,2013-04-29,2013-01-01,2013-04-01,2013-04-01
485,2013-04-30,2013-01-01,2013-04-01,2013-04-01
486,2013-05-01,2013-01-01,2013-04-01,2013-05-01
487,2013-05-02,2013-01-01,2013-04-01,2013-05-01
488,2013-05-03,2013-01-01,2013-04-01,2013-05-01
489,2013-05-04,2013-01-01,2013-04-01,2013-05-01
490,2013-05-05,2013-01-01,2013-04-01,2013-05-01
491,2013-05-06,2013-01-01,2013-04-01,2013-05-01
492,2013-05-07,2013-01-01,2013-04-01,2013-05-01
493,2013-05-08,2013-01-01,2013-04-01,2013-05-01
494,2013-05-09,2013-01-01,2013-04-01,2013-05-01
495,2013-05-10,2013-01-01,2013-04-01,2013-05-01
496,2013-05-11,2013-01-01,2013-04-01,2013-05-01
497,2013-05-12,2013-01-01,2013-04-01,2013-05-01
498,2013-05-13,2013-01-01,2013-04-01,2013-05-01
499,2013-05-14,2013-01-01,2013-04-01,2013-05-01
500,2013-05-15,2013-01-01,2013-04-01,2013-05-01
501,2013-05-16,2013-01-01,2013-04-01,2013-05-01
502,2013-05-17,2013-01-01,2013-04-01,2013-05-01
503,2013-05-18,2013-01-01,2013-04-01,2013-05-01
504,2013-05-19,2013-01-01,2013-04-01,2013-05-01
505,2013-05-20,2013-01-01,2013-04-01,2013-05-01
506,2013-05-21,2013-01-01,2013-04-01,2013-05-01
507,2013-05-22,2013-01-01,2013-04-01,2013-05-01
508,2013-05-23,2013-01-01,2013-04-01,2013-05-01
509,2013-05-24,2013-01-01,2013-04-01,2013-05-01
510,2013-05-25,2013-01-01,2013-04-01,2013-05-01
511,2013-05-26,2013-01-01,2013-04-01,2013-05-01
512,2013-05-27,2013-01-01,2013-04-01,2013-05-01
513,2013-05-28,2013-01-01,2013-04-01,2013-05-01
514,2013-05-29,2013-01-01,2013-04-01,2013-05-01
515,2013-05-30,2013-01-01,2013-04-01,2013-05-01
516,2013-05-31,2013-01-01,2013-04-01,2013-05-01
517,2013-06-01,2013-01-01,2013-04-01,2013-06-01
518,2013-06-02,2013-01-01,2013-04-01,2013-06-01
519,2013-06-03,2013-01-01,2013-04-01,2013-06-01
520,2013-06-04,2013-01-01,2013-04-01,2013-06-01
521,2013-06-05,2013-01-01,2013-04-01,2013-06-01
522,2013-06-06,2013-01-01,2013-04-01,2013-06-01
523,2013-06-07,2013-01-01,2013-04-01,2013-06-01
524,2013-06-08,2013-01-01,2013-04-01,2013-06-01
525,2013-06-09,2013-01-01,2013-04-01,2013-06-01
526,2013-06-10,2013-01-01,2013-04-01,2013-06-01
527,2013-06-11,2013-01-01,2013-04-01,2013-06-01
528,2013-06-12,2013-01-01,2013-04-01,2013-06-01
529,2013-06-13,2013-01-01,2013-04-01,2013-06-01
530,2013-06-14,2013-01-01,2013-04-01,2013-06-01
531,2013-06-15,2013-01-01,2013-04-01,2013-06-01
532,2013-06-16,2013-01-01,2013-04-01,2013-06-01
533,2013-06-17,2013-01-01,2013-04-01,2013-06-01
534,2013-06-18,2013-01-01,2013-04-01,2013-06-01
535,2013-06-19,2013-01-01,2013-04-01,2013-06-01
536,2013-06-20,2013-01-01,2013-04-01,2013-06-01
537,2013-06-21,2013-01-01,2013-04-01,2013-06-01
538,2013-06-22,2013-01-01,2013-04-01,2013-06-01
539,2013-06-23,2013-01-01,2013-04-01,2013-06-01
540,2013-06-24,2013-01-01,2013-04-01,2013-06-01
541,2013-06-25,2013-01-01,2013-04-01,2013-06-01
542,2013-06-26,2013-01-01,2013-04-01,2013-06-01
543,2013-06-27,2013-01-01,2013-04-01,2013-06-01
544,2013-06-28,2013-01-01,2013-04-01,2013-06-01
545,2013-06-29,2013-01-01,2013-04-01,2013-06-01
546,2013-06-30,2013-01-01,2013-04-01,2013-06-01
547,2013-07-01,2013-01-01,2013-07-01,2013-07-01
548,2013-07-02,2013-01-01,2013-07-01,2013-07-01
549,2013-07-03,2013-01-01,2013-07-01,2013-07-01
550,2013-07-04,2013-01-01,2013-07-01,2013-07-01
551,2013-07-05,2013-01-01,2013-07-01,2013-07-01
552,2013-07-06,2013-01-01,2013-07-01,2013-07-01
553,2013-07-07,2013-01-01,2013-07-01,2013-07-01
554,2013-07-08,2013-01-01,2013-07-01,2013-07-01
555,2013-07-09,2013-01-01,2013-07-01,2013-07-01
556,2013-07-10,2013-01-01,2013-07-01,2013-07-01
557,2013-07-11,2013-01-01,2013-07-01,2013-07-01
558,2013-07-12,2013-01-01,2013-07-01,2013-07-01
559,2013-07-13,2013-01-01,2013-07-01,2013-07-01
560,2013-07-14,2013-01-01,2013-07-01,2013-07-01
561,2013-07-15,2013-01-01,2013-07-01,2013-07-01
562,2013-07-16,2013-01-01,2013-07-01,2013-07-01
563,2013-07-17,2013-01-01,2013-07-01,2013-07-01
564,2013-07-18,2013-01-01,2013-07-01,2013-07-01
565,2013-07-19,2013-01-01,2013-07-01,2013-07-01
566,2013-07-20,2013-01-01,2013-07-01,2013-07-01
567,2013-07-21,2013-01-01,2013-07-01,2013-07-01
568,2013-07-22,2013-01-01,2013-07-01,2013-07-01
569,2013-07-23,2013-01-01,2013-07-01,2013-07-01
570,2013-07-24,2013-01-01,2013-07-01,2013-07-01
571,2013-07-25,2013-01-01,2013-07-01,2013-07-01
572,2013-07-26,2013-01-01,2013-07-01,2013-07-01
573,2013-07-27,2013-01-01,2013-07-01,2013-07-01
574,2013-07-28,2013-01-01,2013-07-01,2013-07-01
575,2013-07-29,2013-01-01,2013-07-01,2013-07-01
576,2013-07-30,2013-01-01,2013-07-01,2013-07-01
577,2013-07-31,2013-01-01,2013-07-01,2013-07-01
578,2013-08-01,2013-01-01,2013-07-01,2013-08-01
579,2013-08-02,2013-01-01,2013-07-01,2013-08-01
580,2013-08-03,2013-01-01,2013-07-01,2013-08-01
581,2013-08-04,2013-01-01,2013-07-01,2013-08-01
582,2013-08-05,2013-01-01,2013-07-01,2013-08-01
583,2013-08-06,2013-01-01,2013-07-01,2013-08-01
584,2013-08-07,2013-01-01,2013-07-01,2013-08-01
585,2013-08-08,2013-01-01,2013-07-01,2013-08-01
586,2013-08-09,2013-01-01,2013-07-01,2013-08-01
587,2013-08-10,2013-01-01,2013-07-01,2013-08-01
588,2013-08-11,2013-01-01,2013-07-01,2013-08-01
589,2013-08-12,2013-01-01,2013-07-01,2013-08-01
590,2013-08-13,2013-01-01,2013-07-01,2013-08-01
591,2013-08-14,2013-01-01,2013-07-01,2013-08-01
592,2013-08-15,2013-01-01,2013-07-01,2013-08-01
593,2013-08-16,2013-01-01,2013-07-01,2013-08-01
594,2013-08-17,2013-01-01,2013-07-01,2013-08-01
595,2013-08-18,2013-01-01,2013-07-01,2013-08-01
596,2013-08-19,2013-01-01,2013-07-01,2013-08-01
597,2013-08-20,2013-01-01,2013-07-01,2013-08-01
598,2013-08-21,2013-01-01,2013-07-01,2013-08-01
599,2013-08-22,2013-01-01,2013-07-01,2013-08-01
600,2013-08-23,2013-01-01,2013-07-01,2013-08-01
601,2013-08-24,2013-01-01,2013-07-01,2013-08-01
602,2013-08-25,2013-01-01,2013-07-01,2013-08-01
603,2013-08-26,2013-01-01,2013-07-01,2013-08-01
604,2013-08-27,2013-01-01,2013-07-01,2013-08-01
605,2013-08-28,2013-01-01,2013-07-01,2013-08-01
606,2013-08-29,2013-01-01,2013-07-01,2013-08-01
607,2013-08-30,2013-01-01,2013-07-01,2013-08-01
608,2013-08-31,2013-01-01,2013-07-01,2013-08-01
609,2013-09-01,2013-01-01,2013-07-01,2013-09-01
610,2013-09-02,2013-01-01,2013-07-01,2013-09-01
611,2013-09-03,2013-01-01,2013-07-01,2013-09-01
612,2013-09-04,2013-01-01,2013-07-01,2013-09-01
613,2013-09-05,2013-01-01,2013-07-01,2013-09-01
614,2013-09-06,2013-01-01,2013-07-01,2013-09-01
615,2013-09-07,2013-01-01,2013-07-01,2013-09-01
616,2013-09-08,2013-01-01,2013-07-01,2013-09-01
617,2013-09-09,2013-01-01,2013-07-01,2013-09-01
618,2013-09-10,2013-01-01,2013-07-01,2013-09-01
619,2013-09-11,2013-01-01,2013-07-01,2013-09-01
620,2013-09-12,2013-01-01,2013-07-01,2013-09-01
621,2013-09-13,2013-01-01,2013-07-01,2013-09-01
622,2013-09-14,2013-01-01,2013-07-01,2013-09-01
623,2013-09-15,2013-01-01,2013-07-01,2013-09-01
624,2013-09-16,2013-01-01,2013-07-01,2013-09-01
625,2013-09-17,2013-01-01,2013-07-01,2013-09-01
626,2013-09-18,2013-01-01,2013-07-01,2013-09-01
627,2013-09-19,2013-01-01,2013-07-01,2013-09-01
628,2013-09-20,2013-01-01,2013-07-01,2013-09-01
629,2013-09-21,2013-01-01,2013-07-01,2013-09-01
630,2013-09-22,2013-01-01,2013-07-01,2013-09-01
631,2013-09-23,2013-01-01,2013-07-01,2013-09-01
632,2013-09-24,2013-01-01,2013-07-01,2013-09-01
633,2013-09-25,2013-01-01,2013-07-01,2013-09-01
634,2013-09-26,2013-01-01,2013-07-01,2013-09-01
635,2013-09-27,2013-01-01,2013-07-01,2013-09-01
636,2013-09-28,2013-01-01,2013-07-01,2013-09-01
637,2013-09-29,2013-01-01,2013-07-01,2013-09-01
638,2013-09-30,2013-01-01,2013-07-01,2013-09-01
639,2013-10-01,2013-01-01,2013-10-01,2013-10-01
640,2013-10-02,2013-01-01,2013-10-01,2013-10-01
641,2013-10-03,2013-01-01,2013-10-01,2013-10-01
642,2013-10-04,2013-01-01,2013-10-01,2013-10-01
643,2013-10-05,2013-01-01,2013-10-01,2013-10-01
644,2013-10-06,2013-01-01,2013-10-01,2013-10-01
645,2013-10-07,2013-01-01,2013-10-01,2013-10-01
646,2013-10-08,2013-01-01,2013-10-01,2013-10-01
647,2013-10-09,2013-01-01,2013-10-01,2013-10-01
648,2013-10-10,2013-01-01,2013-10-01,2013-10-01
649,2013-10-11,2013-01-01,2013-10-01,2013-10-01
650,2013-10-12,2013-01-01,2013-10-01,2013-10-01
651,2013-10-13,2013-01-01,2013-10-01,2013-10-01
652,2013-10-14,2013-01-01,2013-10-01,2013-10-01
653,2013-10-15,2013-01-01,2013-10-01,2013-10-01
654,2013-10-16,2013-01-01,2013-10-01,2013-10-01
655,2013-10-17,2013-01-01,2013-10-01,2013-10-01
656,2013-10-18,2013-01-01,2013-10-01,2013-10-01
657,2013-10-19,2013-01-01,2013-10-01,2013-10-01
658,2013-10-20,2013-01-01,2013-10-01,2013-10-01
659,2013-10-21,2013-01-01,2013-10-01,2013-10-01
660,2013-10-22,2013-01-01,2013-10-01,2013-10-01
661,2013-10-23,2013-01-01,2013-10-01,2013-10-01
662,2013-10-24,2013-01-01,2013-10-01,2013-10-01
663,2013-10-25,2013-01-01,2013-10-01,2013-10-01
664,2013-10-26,2013-01-01,2013-10-01,2013-10-01
665,2013-10-27,2013-01-01,2013-10-01,2013-10-01
666,2013-10-28,2013-01-01,2013-10-01,2013-10-01
667,2013-10-29,2013-01-01,2013-10-01,2013-10-01
668,2013-10-30,2013-01-01,2013-10-01,2013-10-01
669,2013-10-31,2013-01-01,2013-10-01,2013-10-01
670,2013-11-01,2013-01-01,2013-10-01,2013-11-01
671,2013-11-02,2013-01-01,2013-10-01,2013-11-01
672,2013-11-03,2013-01-01,2013-10-01,2013-11-01
673,2013-11-04,2013-01-01,2013-10-01,2013-11-01
674,2013-11-05,2013-01-01,2013-10-01,2013-11-01
675,2013-11-06,2013-01-01,2013-10-01,2013-11-01
676,2013-11-07,2013-01-01,2013-10-01,2013-11-01
677,2013-11-08,2013-01-01,2013-10-01,2013-11-01
678,2013-11-09,2013-01-01,2013-10-01,2013-11-01
679,2013-11-10,2013-01-01,2013-10-01,2013-11-01
680,2013-11-11,2013-01-01,2013-10-01,2013-11-01
681,2013-11-12,2013-01-01,2013-10-01,2013-11-01
682,2013-11-13,2013-01-01,2013-10-01,2013-11-01
683,2013-11-14,2013-01-01,2013-10-01,2013-11-01
684,2013-11-15,2013-01-01,2013-10-01,2013-11-01
685,2013-11-16,2013-01-01,2013-10-01,2013-11-01
686,2013-11-17,2013-01-01,2013-10-01,2013-11-01
687,2013-11-18,2013-01-01,2013-10-01,2013-11-01
688,2013-11-19,2013-01-01,2013-10-01,2013-11-01
689,2013-11-20,2013-01-01,2013-10-01,2013-11-01
690,2013-11-21,2013-01-01,2013-10-01,2013-11-01
691,2013-11-22,2013-01-01,2013-10-01,2013-11-01
692,2013-11-23,2013-01-01,2013-10-01,2013-11-01
693,2013-11-24,2013-01-01,2013-10-01,2013-11-01
694,2013-11-25,2013-01-01,2013-10-01,2013-11-01
695,2013-11-26,2013-01-01,2013-10-01,2013-11-01
696,2013-11-27,2013-01-01,2013-10-01,2013-11-01
697,2013-11-28,2013-01-01,2013-10-01,2013-11-01
698,2013-11-29,2013-01-01,2013-10-01,2013-11-01
699,2013-11-30,2013-01-01,2013-10-01,2013-11-01
700,2013-12-01,2013-01-01,2013-10-01,2013-12-01
701,2013-12-02,2013-01-01,2013-10-01,2013-12-01
702,2013-12-03,2013-01-01,2013-10-01,2013-12-01
703,2013-12-04,2013-01-01,2013-10-01,2013-12-01
704,2013-12-05,2013-01-01,2013-10-01,2013-12-01
705,2013-12-06,2013-01-01,2013-10-01,2013-12-01
706,2013-12-07,2013-01-01,2013-10-01,2013-12-01
707,2013-12-08,2013-01-01,2013-10-01,2013-12-01
708,2013-12-09,2013-01-01,2013-10-01,2013-12-01
709,2013-12-10,2013-01-01,2013-10-01,2013-12-01
710,2013-12-11,2013-01-01,2013-10-01,2013-12-01
711,2013-12-12,2013-01-01,2013-10-01,2013-12-01
712,2013-12-13,2013-01-01,2013-10-01,2013-12-01
713,2013-12-14,2013-01-01,2013-10-01,2013-12-01
714,2013-12-15,2013-01-01,2013-10-01,2013-12-01
715,2013-12-16,2013-01-01,2013-10-01,2013-12-01
716,2013-12-17,2013-01-01,2013-10-01,2013-12-01
717,2013-12-18,2013-01-01,2013-10-01,2013-12-01
718,2013-12-19,2013-01-01,2013-10-01,2013-12-01
719,2013-12-20,2013-01-01,2013-10-01,2013-12-01
720,2013-12-21,2013-01-01,2013-10-01,2013-12-01
721,2013-12-22,2013-01-01,2013-10-01,2013-12-01
722,2013-12-23,2013-01-01,2013-10-01,2013-12-01
723,2013-12-24,2013-01-01,2013-10-01,2013-12-01
724,2013-12-25,2013-01-01,2013-10-01,2013-12-01
725,2013-12-26,2013-01-01,2013-10-01,2013-12-01
726,2013-12-27,2013-01-01,2013-10-01,2013-12-01
727,2013-12-28,2013-01-01,2013-10-01,2013-12-01
728,2013-12-29,2013-01-01,2013-10-01,2013-12-01
729,2013-12-30,2013-01-01,2013-10-01,2013-12-01
730,2013-12-31,2013-01-01,2013-10-01,2013-12-01
731,2014-01-01,2014-01-01,2014-01-01,2014-01-01
732,2014-01-02,2014-01-01,2014-01-01,2014-01-01
733,2014-01-03,2014-01-01,2014-01-01,2014-01-01
734,2014-01-04,2014-01-01,2014-01-01,2014-01-01
735,2014-01-05,2014-01-01,2014-01-01,2014-01-01
736,2014-01-06,2014-01-01,2014-01-01,2014-01-01
737,2014-01-07,2014-01-01,2014-01-01,2014-01-01
738,2014-01-08,2014-01-01,2014-01-01,2014-01-01
739,2014-01-09,2014-01-01,2014-01-01,2014-01-01
740,2014-01-10,2014-01-01,2014-01-01,2014-01-01
741,2014-01-11,2014-01-01,2014-01-01,2014-01-01
742,2014-01-12,2014-01-01,2014-01-01,2014-01-01
743,2014-01-13,2014-01-01,2014-01-01,2014-01-01
744,2014-01-14,2014-01-01,2014-01-01,2014-01-01
745,2014-01-15,2014-01-01,2014-01-01,2014-01-01
746,2014-01-16,2014-01-01,2014-01-01,2014-01-01
747,2014-01-17,2014-01-01,2014-01-01,2014-01-01
748,2014-01-18,2014-01-01,2014-01-01,2014-01-01
749,2014-01-19,2014-01-01,2014-01-01,2014-01-01
750,2014-01-20,2014-01-01,2014-01-01,2014-01-01
751,2014-01-21,2014-01-01,2014-01-01,2014-01-01
752,2014-01-22,2014-01-01,2014-01-01,2014-01-01
753,2014-01-23,2014-01-01,2014-01-01,2014-01-01
754,2014-01-24,2014-01-01,2014-01-01,2014-01-01
755,2014-01-25,2014-01-01,2014-01-01,2014-01-01
756,2014-01-26,2014-01-01,2014-01-01,2014-01-01
757,2014-01-27,2014-01-01,2014-01-01,2014-01-01
758,2014-01-28,2014-01-01,2014-01-01,2014-01-01
759,2014-01-29,2014-01-01,2014-01-01,2014-01-01
760,2014-01-30,2014-01-01,2014-01-01,2014-01-01
761,2014-01-31,2014-01-01,2014-01-01,2014-01-01
762,2014-02-01,2014-01-01,2014-01-01,2014-02-01
763,2014-02-02,2014-01-01,2014-01-01,2014-02-01
764,2014-02-03,2014-01-01,2014-01-01,2014-02-01
765,2014-02-04,2014-01-01,2014-01-01,2014-02-01
766,2014-02-05,2014-01-01,2014-01-01,2014-02-01
767,2014-02-06,2014-01-01,2014-01-01,2014-02-01
768,2014-02-07,2014-01-01,2014-01-01,2014-02-01
769,2014-02-08,2014-01-01,2014-01-01,2014-02-01
770,2014-02-09,2014-01-01,2014-01-01,2014-02-01
771,2014-02-10,2014-01-01,2014-01-01,2014-02-01
772,2014-02-11,2014-01-01,2014-01-01,2014-02-01
773,2014-02-12,2014-01-01,2014-01-01,2014-02-01
774,2014-02-13,2014-01-01,2014-01-01,2014-02-01
775,2014-02-14,2014-01-01,2014-01-01,2014-02-01
776,2014-02-15,2014-01-01,2014-01-01,2014-02-01
777,2014-02-16,2014-01-01,2014-01-01,2014-02-01
778,2014-02-17,2014-01-01,2014-01-01,2014-02-01
779,2014-02-18,2014-01-01,2014-01-01,2014-02-01
780,2014-02-19,2014-01-01,2014-01-01,2014-02-01
781,2014-02-20,2014-01-01,2014-01-01,2014-02-01
782,2014-02-21,2014-01-01,2014-01-01,2014-02-01
783,2014-02-22,2014-01-01,2014-01-01,2014-02-01
784,2014-02-23,2014-01-01,2014-01-01,2014-02-01
785,2014-02-24,2014-01-01,2014-01-01,2014-02-01
786,2014-02-25,2014-01-01,2014-01-01,2014-02-01
787,2014-02-26,2014-01-01,2014-01-01,2014-02-01
788,2014-02-27,2014-01-01,2014-01-01,2014-02-01
789,2014-02-28,2014-01-01,2014-01-01,2014-02-01
790,2014-03-01,2014-01-01,2014-01-01,2014-03-01
791,2014-03-02,2014-01-01,2014-01-01,2014-03-01
792,2014-03-03,2014-01-01,2014-01-01,2014-03-01
793,2014-03-04,2014-01-01,2014-01-01,2014-03-01
794,2014-03-05,2014-01-01,2014-01-01,2014-03-01
795,2014-03-06,2014-01-01,2014-01-01,2014-03-01
796,2014-03-07,2014-01-01,2014-01-01,2014-03-01
797,2014-03-08,2014-01-01,2014-01-01,2014-03-01
798,2014-03-09,2014-01-01,2014-01-01,2014-03-01
799,2014-03-10,2014-01-01,2014-01-01,2014-03-01
800,2014-03-11,2014-01-01,2014-01-01,2014-03-01
801,2014-03-12,2014-01-01,2014-01-01,2014-03-01
802,2014-03-13,2014-01-01,2014-01-01,2014-03-01
803,2014-03-14,2014-01-01,2014-01-01,2014-03-01
804,2014-03-15,2014-01-01,2014-01-01,2014-03-01
805,2014-03-16,2014-01-01,2014-01-01,2014-03-01
806,2014-03-17,2014-01-01,2014-01-01,2014-03-01
807,2014-03-18,2014-01-01,2014-01-01,2014-03-01
808,2014-03-19,2014-01-01,2014-01-01,2014-03-01
809,2014-03-20,2014-01-01,2014-01-01,2014-03-01
810,2014-03-21,2014-01-01,2014-01-01,2014-03-01
811,2014-03-22,2014-01-01,2014-01-01,2014-03-01
812,2014-03-23,2014-01-01,2014-01-01,2014-03-01
813,2014-03-24,2014-01-01,2014-01-01,2014-03-01
814,2014-03-25,2014-01-01,2014-01-01,2014-03-01
815,2014-03-26,2014-01-01,2014-01-01,2014-03-01
816,2014-03-27,2014-01-01,2014-01-01,2014-03-01
817,2014-03-28,2014-01-01,2014-01-01,2014-03-01
818,2014-03-29,2014-01-01,2014-01-01,2014-03-01
819,2014-03-30,2014-01-01,2014-01-01,2014-03-01
820,2014-03-31,2014-01-01,2014-01-01,2014-03-01
821,2014-04-01,2014-01-01,2014-04-01,2014-04-01
822,2014-04-02,2014-01-01,2014-04-01,2014-04-01
823,2014-04-03,2014-01-01,2014-04-01,2014-04-01
824,2014-04-04,2014-01-01,2014-04-01,2014-04-01
825,2014-04-05,2014-01-01,2014-04-01,2014-04-01
826,2014-04-06,2014-01-01,2014-04-01,2014-04-01
827,2014-04-07,2014-01-01,2014-04-01,2014-04-01
828,2014-04-08,2014-01-01,2014-04-01,2014-04-01
829,2014-04-09,2014-01-01,2014-04-01,2014-04-01
830,2014-04-10,2014-01-01,2014-04-01,2014-04-01
831,2014-04-11,2014-01-01,2014-04-01,2014-04-01
832,2014-04-12,2014-01-01,2014-04-01,2014-04-01
833,2014-04-13,2014-01-01,2014-04-01,2014-04-01
834,2014-04-14,2014-01-01,2014-04-01,2014-04-01
835,2014-04-15,2014-01-01,2014-04-01,2014-04-01
836,2014-04-16,2014-01-01,2014-04-01,2014-04-01
837,2014-04-17,2014-01-01,2014-04-01,2014-04-01
838,2014-04-18,2014-01-01,2014-04-01,2014-04-01
839,2014-04-19,2014-01-01,2014-04-01,2014-04-01
840,2014-04-20,2014-01-01,2014-04-01,2014-04-01
841,2014-04-21,2014-01-01,2014-04-01,2014-04-01
842,2014-04-22,2014-01-01,2014-04-01,2014-04-01
843,2014-04-23,2014-01-01,2014-04-01,2014-04-01
844,2014-04-24,2014-01-01,2014-04-01,2014-04-01
845,2014-04-25,2014-01-01,2014-04-01,2014-04-01
846,2014-04-26,2014-01-01,2014-04-01,2014-04-01
847,2014-04-27,2014-01-01,2014-04-01,2014-04-01
848,2014-04-28,2014-01-01,2014-04-01,2014-04-01
849,2014-04-29,2014-01-01,2014-04-01,2014-04-01
850,2014-04-30,2014-01-01,2014-04-01,2014-04-01
851,2014-05-01,2014-01-01,2014-04-01,2014-05-01
852,2014-05-02,2014-01-01,2014-04-01,2014-05-01
853,2014-05-03,2014-01-01,2014-04-01,2014-05-01
854,2014-05-04,2014-01-01,2014-04-01,2014-05-01
855,2014-05-05,2014-01-01,2014-04-01,2014-05-01
856,2014-05-06,2014-01-01,2014-04-01,2014-05-01
857,2014-05-07,2014-01-01,2014-04-01,2014-05-01
858,2014-05-08,2014-01-01,2014-04-01,2014-05-01
859,2014-05-09,2014-01-01,2014-04-01,2014-05-01
860,2014-05-10,2014-01-01,2014-04-01,2014-05-01
861,2014-05-11,2014-01-01,2014-04-01,2014-05-01
862,2014-05-12,2014-01-01,2014-04-01,2014-05-01
863,2014-05-13,2014-01-01,2014-04-01,2014-05-01
864,2014-05-14,2014-01-01,2014-04-01,2014-05-01
865,2014-05-15,2014-01-01,2014-04-01,2014-05-01
866,2014-05-16,2014-01-01,2014-04-01,2014-05-01
867,2014-05-17,2014-01-01,2014-04-01,2014-05-01
868,2014-05-18,2014-01-01,2014-04-01,2014-05-01
869,2014-05-19,2014-01-01,2014-04-01,2014-05-01
870,2014-05-20,2014-01-01,2014-04-01,2014-05-01
871,2014-05-21,2014-01-01,2014-04-01,2014-05-01
872,2014-05-22,2014-01-01,2014-04-01,2014-05-01
873,2014-05-23,2014-01-01,2014-04-01,2014-05-01
874,2014-05-24,2014-01-01,2014-04-01,2014-05-01
875,2014-05-25,2014-01-01,2014-04-01,2014-05-01
876,2014-05-26,2014-01-01,2014-04-01,2014-05-01
877,2014-05-27,2014-01-01,2014-04-01,2014-05-01
878,2014-05-28,2014-01-01,2014-04-01,2014-05-01
879,2014-05-29,2014-01-01,2014-04-01,2014-05-01
880,2014-05-30,2014-01-01,2014-04-01,2014-05-01
881,2014-05-31,2014-01-01,2014-04-01,2014-05-01
882,2014-06-01,2014-01-01,2014-04-01,2014-06-01
883,2014-06-02,2014-01-01,2014-04-01,2014-06-01
884,2014-06-03,2014-01-01,2014-04-01,2014-06-01
885,2014-06-04,2014-01-01,2014-04-01,2014-06-01
886,2014-06-05,2014-01-01,2014-04-01,2014-06-01
887,2014-06-06,2014-01-01,2014-04-01,2014-06-01
888,2014-06-07,2014-01-01,2014-04-01,2014-06-01
889,2014-06-08,2014-01-01,2014-04-01,2014-06-01
890,2014-06-09,2014-01-01,2014-04-01,2014-06-01
891,2014-06-10,2014-01-01,2014-04-01,2014-06-01
892,2014-06-11,2014-01-01,2014-04-01,2014-06-01
893,2014-06-12,2014-01-01,2014-04-01,2014-06-01
894,2014-06-13,2014-01-01,2014-04-01,2014-06-01
895,2014-06-14,2014-01-01,2014-04-01,2014-06-01
896,2014-06-15,2014-01-01,2014-04-01,2014-06-01
897,2014-06-16,2014-01-01,2014-04-01,2014-06-01
898,2014-06-17,2014-01-01,2014-04-01,2014-06-01
899,2014-06-18,2014-01-01,2014-04-01,2014-06-01
900,2014-06-19,2014-01-01,2014-04-01,2014-06-01
901,2014-06-20,2014-01-01,2014-04-01,2014-06-01
902,2014-06-21,2014-01-01,2014-04-01,2014-06-01
903,2014-06-22,2014-01-01,2014-04-01,2014-06-01
904,2014-06-23,2014-01-01,2014-04-01,2014-06-01
905,2014-06-24,2014-01-01,2014-04-01,2014-06-01
906,2014-06-25,2014-01-01,2014-04-01,2014-06-01
907,2014-06-26,2014-01-01,2014-04-01,2014-06-01
908,2014-06-27,2014-01-01,2014-04-01,2014-06-01
909,2014-06-28,2014-01-01,2014-04-01,2014-06-01
910,2014-06-29,2014-01-01,2014-04-01,2014-06-01
911,2014-06-30,2014-01-01,2014-04-01,2014-06-01
912,2014-07-01,2014-01-01,2014-07-01,2014-07-01
913,2014-07-02,2014-01-01,2014-07-01,2014-07-01
914,2014-07-03,2014-01-01,2014-07-01,2014-07-01
915,2014-07-04,2014-01-01,2014-07-01,2014-07-01
916,2014-07-05,2014-01-01,2014-07-01,2014-07-01
917,2014-07-06,2014-01-01,2014-07-01,2014-07-01
918,2014-07-07,2014-01-01,2014-07-01,2014-07-01
919,2014-07-08,2014-01-01,2014-07-01,2014-07-01
920,2014-07-09,2014-01-01,2014-07-01,2014-07-01
921,2014-07-10,2014-01-01,2014-07-01,2014-07-01
922,2014-07-11,2014-01-01,2014-07-01,2014-07-01
923,2014-07-12,2014-01-01,2014-07-01,2014-07-01
924,2014-07-13,2014-01-01,2014-07-01,2014-07-01
925,2014-07-14,2014-01-01,2014-07-01,2014-07-01
926,2014-07-15,2014-01-01,2014-07-01,2014-07-01
927,2014-07-16,2014-01-01,2014-07-01,2014-07-01
928,2014-07-17,2014-01-01,2014-07-01,2014-07-01
